"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"7950",8,"Female",3,1982,"Hispanic",22809,8,9000,5,1,118,4,6,TRUE
"7952",8,"Female",9,1983,"Black",22920,4,21000,5,9,192,6,6,FALSE
"7953",8,"Female",10,1984,"Black",13677,8,4000,5,0,160,4,8,TRUE
"7957",8,"Male",3,1982,"Black",17826,10,5000,5,6,150,1,7,FALSE
"7958",7,"Female",6,1984,"Black",34458,8,23000,5,5,260,3,6,FALSE
"7959",6,"Female",12,1980,"Black",38695,7,5369,5,9,217,3,6,FALSE
"7960",3,"Female",3,1982,"Black",38291,8,21000,5,1,243,6,5,TRUE
"7961",8,"Male",12,1983,"Black",32598,10,16000,5,11,210,4,7,TRUE
"7962",9,"Female",7,1982,"Black",9640,9,10500,6,4,175,6,7,TRUE
"7965",8,"Female",9,1980,"Black",51221,7,29000,5,9,130,6,6,FALSE
"7966",8,"Male",2,1983,"Black",6682,10,28000,5,8,165,2,7,TRUE
"7967",6,"Male",2,1983,"Black",8008,8,4000,5,9,163,3,6,FALSE
"7968",7,"Female",1,1981,"Black",28416,7,16000,5,6,239,6,5,FALSE
"7971",8,"Male",9,1981,"Black",245,10,33000,5,7,176,1,7,TRUE
"7976",8,"Male",5,1980,"Black",10236,6,30000,6,2,300,1,9,TRUE
"7977",6,"Male",9,1983,"Black",18168,10,2000,6,0,140,3,8,FALSE
"7979",7,"Female",10,1984,"Black",16133,10,3000,5,7,160,6,8,TRUE
"7980",6,"Female",1,1981,"Black",22390,6,5000,5,1,77,3,6,FALSE
"7982",6,"Female",7,1983,"Black",4335,6,11000,5,6,165,4,6,FALSE
"7983",6,"Female",7,1983,"Black",23213,8,18000,5,5,175,6,6,FALSE
"7984",6,"Female",11,1981,"Black",56108,8,35000,5,7,225,6,5,FALSE
"7985",7,"Female",9,1981,"Black",24390,9,12000,5,5,175,3,8,TRUE
"7987",5,"Female",2,1980,"Black",22086,8,10000,5,4,130,1,4,FALSE
"7990",8,"Female",8,1982,"Black",11831,10,13000,5,2,186,1,6,TRUE
"7991",5,"Female",4,1981,"Black",940,10,10000,5,4,230,3,5,FALSE
"7992",6,"Female",10,1982,"Black",5416,8,400,5,4,185,1,8,FALSE
"7997",8,"Female",9,1981,"Black",48543,5,25000,5,7,135,6,8,FALSE
"7998",6,"Male",8,1983,"Black",40864,8,35000,6,1,175,6,6,TRUE
"7999",6,"Male",9,1983,"Black",1518,5,3000,5,9,225,1,5,FALSE
"8001",6,"Male",1,1980,"Black",11049,6,27000,6,3,215,1,6,TRUE
"8006",6,"Female",3,1984,"Black",11839,7,4000,5,8,145,5,8,TRUE
"8011",10,"Male",10,1982,"Black",46797,9,30000,5,11,285,4,7,TRUE
"8012",5,"Female",10,1983,"Black",13285,6,14000,5,3,186,5,6,TRUE
"8019",8,"Male",1,1981,"Black",9052,8,30000,5,5,133,6,7,TRUE
"8020",6,"Male",11,1982,"Black",10045,5,11000,5,6,160,5,6,FALSE
"8021",7,"Female",1,1983,"Black",5115,10,11000,5,1,175,5,6,FALSE
"8023",7,"Male",2,1981,"Black",21874,8,58000,6,2,255,3,7,TRUE
"8028",8,"Male",11,1980,"Black",20424,8,18000,6,3,185,4,8,TRUE
"8029",6,"Female",2,1984,"Black",44694,9,32000,6,0,243,6,6,FALSE
"8033",7,"Female",11,1984,"Black",10267,8,22000,5,4,145,4,6,TRUE
"8042",5,"Female",8,1980,"Black",29162,8,35000,5,2,245,6,4,FALSE
"8044",6,"Male",2,1983,"Black",27904,9,12000,6,1,170,6,8,TRUE
"8050",6,"Male",6,1983,"Black",67422,8,22000,5,6,230,4,5,FALSE
"8052",6,"Female",8,1982,"Black",32087,7,23000,5,5,130,5,6,TRUE
"8053",8,"Female",5,1982,"Black",29762,8,8200,5,7,170,6,9,FALSE
"8054",6,"Female",8,1980,"Black",90740,8,12000,5,6,170,6,6,FALSE
"8055",7,"Female",8,1981,"Black",88903,7,40000,5,2,130,3,7,FALSE
"8057",5,"Female",1,1981,"Black",27468,8,20000,5,11,142,4,6,FALSE
"8058",7,"Female",7,1983,"Black",4484,8,19200,5,4,188,5,8,TRUE
"8059",7,"Female",5,1982,"Black",64030,8,35000,5,5,170,6,5,FALSE
"8060",6,"Male",2,1980,"Hispanic",83985,7,34000,6,0,180,4,8,FALSE
"8061",6,"Male",1,1982,"Black",13799,8,3000,5,7,150,5,5,FALSE
"8065",6,"Female",3,1980,"Hispanic",13983,8,8000,5,1,145,3,6,TRUE
"8068",8,"Female",2,1980,"Hispanic",17391,7,19000,5,5,176,6,8,FALSE
"8070",8,"Female",1,1981,"Black",25130,8,121993,5,11,190,5,8,FALSE
"8075",8,"Male",6,1981,"Hispanic",55929,7,60000,5,10,215,6,6,TRUE
"8076",6,"Female",11,1984,"Hispanic",68089,8,14000,5,4,200,6,6,TRUE
"8082",8,"Male",4,1981,"Hispanic",15441,5,1000,5,11,190,3,6,FALSE
"8085",8,"Female",8,1984,"Hispanic",76478,5,40000,5,4,140,6,6,TRUE
"8088",6,"Female",9,1982,"Hispanic",72124,5,44000,5,2,240,6,6,FALSE
"8089",5,"Female",3,1980,"Hispanic",62873,8,28000,5,5,200,6,6,TRUE
"8094",6,"Female",10,1980,"Black",34225,5,11800,6,0,220,6,7,FALSE
